연번,회사명,청끌기업분야,업종(대분류),기업규모,평균초임(천원),평균연봉(천원),'25.매출액(백만원),직원수(계),직원수(정규직),직원수(비정규직),워라밸(10점 만점),워라밸 선택항목,직무교육(6점 만점),직무교육 선택항목,복리후생(12점 만점),복리후생 선택항목,소재지,주요제품/서비스,비고(주요 인증제도 등)
61,(주)슬래시비슬래시,미래,제조업,중소기업,"2,330","45,110","18,300",70,53,17,5,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",3,"①직장 내 교육훈련(OJT), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등)",5,"①4대보험 가입, ②퇴직연금, ④야근/휴일수당, ⑧차량 유지비 지원, ⑫통신비 지원",해운대구,모바일 액세서리,"우수기업, 선도기업"
62,(주)오리엔트조선소,미래,제조업,중소기업,"2,583","54,000","44,883",93,93,0,5,"③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",4,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ⑤사내동호회 운영",6,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑫통신비 지원",사하구,선박건조 및 수리 외,
63,(주)용진터보,워라밸,제조업,중소기업,"2,750","55,000","23,197",39,36,3,5,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",0,(해당없음),6,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑫통신비 지원",사하구,선박수리업 외,
64,(주)케이시스,복지,제조업,중소기업,"2,580","58,280","33,647",65,65,0,5,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",9,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑪체력단련비 지급, ⑫통신비 지원",부산진구,LED전광판,"선도기업, 메인비즈, 청년친화, 가족친화"
65,(주)씨넷,워라밸,제조업,중소기업,"2,750","41,110","36,000",126,122,4,6,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",12,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑥주택자금 대출, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑪체력단련비 지급, ⑫통신비 지원",영도구,선박 항해 통신 장비,"고용우수, 선도기업, 가족친화"
66,(주)지비라이트,워라밸,제조업,중소기업,"2,750","48,230","56,200",107,101,6,5,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",4,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ⑤사내동호회 운영",9,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑪체력단련비 지급",강서구,하이브리드코팅(재귀반사제품),"청년친화, 강소기업, 여가친화"
67,케이에스비세일주식회사,복지,제조업,중소기업,"3,160","75,670","52,156",113,113,0,7,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",4,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ⑤사내동호회 운영",11,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑪체력단련비 지급, ⑫통신비 지원",강서구,조선 기자재,
68,한라IMS(주),복지,제조업,중소기업,"3,030","143,460","131,636",223,207,16,8,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도, ⑨직장 어린이집 설치",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",10,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ⑤장기근속자 포상, ⑥주택자금 대출, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑫통신비 지원",강서구,제어기기 및 시스템,
69,현항공산업(주),복지,제조업,중소기업,"2,670","42,000","37,684",168,168,0,5,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",3,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ④자기계발비 지원(도서구입비, 교육비 지원 등)",8,"①4대보험 가입, ②퇴직연금, ④야근/휴일수당, ⑤장기근속자 포상, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원",강서구,항공기 부품,"가족친화, 이노비즈"
70,협성철광(주),미래,제조업,중소기업,"2,750","63,870","3,700",20,19,1,2,"③재택근무 제도, ⑥배우자 출산휴가(10일 이상)",3,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵",2,"①4대보험 가입, ④야근/휴일수당",사상구,산업기계 제작 및 가공 외,선도기업
